VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
340848.1	0.184500	0.245700	0.185100	0.263200	0.189600	0.191300	0.230300	0.221000	0.154200	0.120600	0.245900	0.229600	0.196800	0.127900	0.216800	0.241500	0.091100	0.118700	0.219300	0.184700	0.238900
346012.5	0.177800	0.236400	0.183000	0.266000	0.189100	0.190200	0.226600	0.212400	0.163100	0.125300	0.244000	0.229100	0.198200	0.130500	0.212700	0.231500	0.094500	0.122500	0.210200	0.176300	0.238200
351176.9	0.177300	0.232700	0.181700	0.263700	0.186600	0.188600	0.222300	0.214300	0.162300	0.125600	0.242100	0.225900	0.196300	0.130100	0.208500	0.229900	0.094900	0.121800	0.210300	0.178800	0.234800
356341.2	0.174200	0.230000	0.181100	0.264400	0.184400	0.186400	0.218000	0.210900	0.164500	0.125400	0.241700	0.224100	0.195900	0.129900	0.206500	0.225200	0.096000	0.123000	0.204700	0.174100	0.232000
361505.6	0.179500	0.233200	0.183500	0.255700	0.179800	0.183800	0.215900	0.217100	0.144000	0.110700	0.241400	0.218800	0.187100	0.118100	0.202600	0.234000	0.090100	0.110900	0.211400	0.183600	0.229600
366669.9	0.174500	0.229300	0.183300	0.260800	0.181600	0.184100	0.212600	0.211800	0.153200	0.116100	0.238400	0.220200	0.189500	0.121500	0.201500	0.223400	0.092200	0.115700	0.204800	0.176400	0.230500
371834.3	0.173200	0.227000	0.183700	0.256200	0.177000	0.182100	0.210600	0.213100	0.147000	0.110900	0.237800	0.216400	0.184700	0.116400	0.197300	0.224100	0.090300	0.111200	0.207000	0.179800	0.226700
376998.7	0.174200	0.224500	0.184700	0.255200	0.175300	0.181000	0.208900	0.214100	0.144700	0.107900	0.237100	0.214100	0.181700	0.115600	0.194500	0.223800	0.089000	0.109200	0.207200	0.181000	0.227200
382163.0	0.174600	0.220300	0.188000	0.259000	0.177400	0.181200	0.207100	0.208400	0.154400	0.117800	0.233200	0.215800	0.185900	0.122500	0.192900	0.216900	0.093900	0.117300	0.200500	0.175100	0.227300
387327.4	0.172600	0.216400	0.191700	0.254600	0.173300	0.179800	0.205400	0.211900	0.145700	0.108000	0.234200	0.212600	0.179400	0.113400	0.190600	0.218700	0.090500	0.109000	0.203200	0.178500	0.227000
